パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
27,1番目,FLWJ0024353347Y,1,2,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,215,351.0,290,1095,1154,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FLWJ002,,14.00000013,39.18333334
25,3番目,EYRJ00143531CC2,6,35,無,0.15,0.16,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,62.0,5.0,571,366.8,290,1102,1160,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,10.00000045,39.23333334
25,2番目,FLWJ0024353344V,1,2,無,0.16,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,445,351.0,290,1102,1160,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FLWJ002,,15.00000036,39.23333334
25,1番目,FLWJ0024353345W,1,2,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,215,351.0,290,1102,1160,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FLWJ002,,14.99999973,39.23333334
20,4番目,EWRJ0044353260S,6,35,無,0.14,0.16,0.044,0.045,0.045,0.051,タンク1,タンク2,50.8,60,62.0,5.0,801,366.8,290,1099,1159,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,11.00000006,39.23333334
20,3番目,FCNJ0014353269.,5,33,無,0.19,0.2,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,79.0,5.0,620,356.5,290,1099,1159,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FCNJ001,,9.000000218,39.23333334
20,2番目,FLWJ0024353325U,1,2,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,445,351.0,290,1099,1159,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FLWJ002,,13.9999995,39.23333334
20,1番目,FLWJ0024353343U,1,2,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,215,351.0,290,1099,1159,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FLWJ002,,14.99999973,39.23333334
25,4番目,EJBJ0084353070R,7,13,無,0.16,0.17,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.7,830,320.0,290,1102,1160,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,14.99999973,39.23333334
45,1番目,FEEJ003435316D/,1,2,無,0.17,0.18,0.044,0.045,0.046,0.05,タンク1,タンク2,50.8,60,70.3,9.9,215,351.0,290,1103,1151,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,39.03333334
50,2番目,FBGJ0084352EFBG,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,3933,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,86.48333333
49,3番目,ECAJ01243528ECA,9,15,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,7.4,630,405.0,290,1101,1138,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,ECAJ012,リレ－ケ－ス本体　　　　　　　　　　　ＤＪＷ,11.99999966,38.83333334
10,2番目,EZHJ0084352FE9E,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1103,1163,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.36666667
10,1番目,EZHJ0084352FFDJ,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1103,1163,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.36666667
3,3番目,DTHJ0124352F11-,5,28,無,0.19,0.19,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1117,1169,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,11.00000006,39.35
3,2番目,EWRJ0044352F6B8,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,341,366.8,290,1117,1169,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,9.999999823,39.35
3,1番目,EZHJ0084352FEAF,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1117,1169,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,39.35
31,4番目,EWRJ0044352F7FD,6,35,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1114,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,11.00000006,39.16666667
31,3番目,DTHJ0124352F10Z,5,28,無,0.19,0.19,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1114,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,9.999999823,39.16666667
31,2番目,EZHJ0084352FE7C,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1114,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.16666667
31,1番目,EZHJ0084352FE8D,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1114,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.16666667
8,4番目,EWRJ0044352F810,6,35,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1113,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,9.999999823,39.09999999
8,3番目,DTHJ0124352F12.,5,28,無,0.19,0.19,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1113,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,9.999999823,39.09999999
8,2番目,EZHJ0084352FEDI,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1113,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.09999999
8,1番目,EZHJ0084352FFCI,1,1,無,0.16,0.16,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1113,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.09999999
19,4番目,EWRJ0044352F821,6,35,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1108,1138,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,10.00000045,39.05
19,3番目,DTHJ0124352F13 ,5,28,無,0.19,0.19,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1108,1138,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,10.00000045,39.05
10,3番目,DTHJ0124352EE37,5,28,無,0.19,0.19,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1103,1163,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,9.999999823,39.36666667
19,2番目,EZHJ0084352FEEJ,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1108,1138,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.05
10,4番目,EYRJ0014352F6A7,6,35,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1103,1163,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,11.00000006,39.36666667
24,2番目,EZHJ0084352FFEK,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1102,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.3
27,1番目,EZHJ008435308B$,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1107,1150,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.06666667
25,4番目,EWRJ0044352F843,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1102,1151,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,9.999999823,39.20000001
25,3番目,FCNJ0014352F865,5,33,無,0.19,0.19,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,620,356.5,290,1102,1151,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FCNJ001,,9.999999823,39.20000001
25,2番目,EZHJ0084353089.,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1102,1151,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.20000001
25,1番目,EZHJ008435308A ,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1102,1151,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.20000001
20,4番目,EYRJ0014352F51/,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1104,1161,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,9.999999823,39.21666667
20,3番目,FCNJ0014352FC03,5,33,無,0.19,0.19,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,620,356.5,290,1104,1161,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FCNJ001,,9.999999823,39.21666667
20,2番目,EZHJ0084353002M,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1104,1161,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.21666667
20,1番目,EZHJ0084353003N,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1104,1161,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.21666667
18,4番目,ERGJ0214352F1B3,18,29,無,0.24,0.23,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,100.0,7.1,833,402.0,290,1093,1158,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,ERGJ021,,12.9999999,39.35
18,3番目,EYRJ0014352F50$,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,571,366.8,290,1093,1158,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,10.00000045,39.35
18,2番目,EZHJ0084353000K,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1093,1158,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.35
18,1番目,EZHJ0084353001L,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1093,1158,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.35
24,4番目,EWRJ0044352F6C9,6,35,無,0.13,0.14,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,801,366.8,290,1102,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EWRJ004,,9.999999823,39.3
24,3番目,DTHJ0124352EE48,5,28,無,0.19,0.19,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,79.0,5.0,571,371.5,290,1102,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,DTHJ012,,9.999999823,39.3
24,1番目,EZHJ0084352FFFL,1,1,無,0.15,0.16,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1102,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.3
19,1番目,EZHJ0084352FFAG,1,1,無,0.16,0.16,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1108,1138,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.05
23,4番目,EJWJ0264352EDFI,6,12,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,776,360.0,290,1107,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,10.99999943,38.96666667
23,3番目,EYRJ0014352F4E9,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,571,366.8,290,1107,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,9.000000218,38.96666667
9,2番目,FBGJ0084352FB8A,1,1,無,0.16,0.16,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1094,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,13.9999995,39.0
9,1番目,FBGJ0084352FB79,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1094,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.0
1,1番目,FLVJ00243541E92,1,2,無,0.18,0.18,0.004,0.046,0.047,-0.057,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,964,2449,2026/4/6,2026/4/7,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/7,2026/4/7,2026/4/6,FLVJ002,,16.99999957,946.0166667
15,4番目,EJWJ0264352EE15,6,12,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,776,360.0,290,1108,1155,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,9.999999823,39.25
15,3番目,EYDJ0234352F17%,16,11,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,8.9,631,356.8,290,1108,1155,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYDJ023,,12.9999999,39.25
15,2番目,FBGJ0084352FB57,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1108,1155,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,39.25
15,1番目,FBGJ0084352FB68,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1108,1155,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.25
4,4番目,EYDJ0234352F180,16,11,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,8.9,861,356.8,290,1099,1156,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYDJ023,,14.00000013,39.36666667
4,3番目,EMHJ0014352E18%,8,14,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.9,8.0,662,385.0,290,1099,1156,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EMHJ001,リレ－ケ－ス本体　　　　　　　　　　　ＤＵＣ－Ａ,12.9999999,39.36666667
4,2番目,FBGJ0084352FB46,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1099,1156,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,39.36666667
4,1番目,FBGJ0084352EFFK,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1099,1156,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.36666667
50,4番目,EYDJ0234352F16+,16,11,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,8.9,861,356.8,290,3933,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYDJ023,,14.99999973,86.48333333
50,3番目,EMHJ0014352E17+,8,14,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.9,8.0,662,385.0,290,3933,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EMHJ001,リレ－ケ－ス本体　　　　　　　　　　　ＤＵＣ－Ａ,13.00000052,86.48333333
50,1番目,FBGJ0084352EFDI,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,3933,1162,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,86.48333333
33,1番目,FHPJ0034352FF8E,1,3,無,0.17,0.18,0.044,0.045,0.045,0.05,タンク1,タンク2,50.8,60,70.3,9.9,215,366.0,290,1058,1875,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FHPJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＨＰ,14.99999973,50.2
9,3番目,EYDJ0234352F14$,16,11,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,8.9,631,356.8,290,1094,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYDJ023,,14.00000013,39.0
9,4番目,EJWJ0264352ECAC,6,12,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,776,360.0,290,1094,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,11.00000006,39.0
26,1番目,FBGJ0084352FBBD,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1100,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,38.88333334
26,2番目,FBGJ0084352FB35,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1100,1146,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,FBGJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,38.88333334
23,2番目,EZHJ0084352FECH,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,450,332.0,290,1107,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,38.96666667
23,1番目,EZHJ0084352FEBG,1,1,無,0.17,0.17,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,70.3,9.9,220,332.0,290,1107,1144,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EZHJ008,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,38.96666667
13,4番目,EJWJ0264351785 ,6,12,無,0.15,0.15,0.044,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,776,360.0,290,1100,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,11.00000006,38.96666667
13,3番目,EYRJ0014352F1D5,6,35,無,0.15,0.15,0.043,0.045,0.046,-0.082,タンク1,タンク1,50.8,60,62.0,5.0,571,366.8,290,1100,1141,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,2026/4/6,EYRJ001,,9.999999823,38.96666667
