パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
4,1番目,FEEJ003434D044.,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,970,1801,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,940.9833333
4,2番目,FEEJ003434D04B1,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,970,1801,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.9833333
48,1番目,FEEJ003434D03F4,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,1064,1340,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,940.55
48,2番目,EYDJ392434CF69F,15,23,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,8.1,350,336.0,280,1064,1340,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,EYDJ392,,14.99999973,940.55
51,1番目,FEEJ003434D040X,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,1055,1433,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,941.15
46,2番目,FEEJ003434D042Z,1,2,無,0.16,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,1031,1505,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.9166667
51,2番目,FEEJ003434D041Y,1,2,無,0.16,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,1055,1433,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,941.15
16,2番目,FEEJ003434D045 ,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,988,1577,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.6166667
43,1番目,FEEJ003434D047/,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,973,1659,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,940.7
43,2番目,FEEJ003434D048+,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,973,1659,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.7
